filename,label,ipd_px,left_eye_open,right_eye_open,eye_aperture_asymmetry,eye_aperture_ratio,mouth_corner_height_diff,mouth_left_deviation,mouth_right_deviation,mouth_deviation_asymmetry,left_brow_height,right_brow_height,brow_height_asymmetry,brow_height_ratio,mouth_width,mouth_angle,eye_angle,left_eye_width,right_eye_width,eye_width_asymmetry
1/10001,StrongPalsy,81.964,0.1637,0.1394,0.0243,0.8518,0.1078,0.4203,0.4242,0.004,0.4132,0.4383,0.0251,0.9426,0.8513,7.2737,0.8229,0.4584,0.4353,0.0231
1/10006,StrongPalsy,84.025,0.1083,0.0474,0.0609,0.4379,0.0741,0.3809,0.4203,0.0394,0.4215,0.4321,0.0106,0.9754,0.8046,5.2821,0.8543,0.4443,0.4596,0.0153
1/10011,SlightPalsy,81.01,0.1357,0.1293,0.0064,0.953,0.0285,0.3533,0.3735,0.0202,0.4009,0.4244,0.0235,0.9446,0.7274,2.2473,0.4776,0.4425,0.4385,0.004
1/10016,SlightPalsy,81.665,0.1567,0.1429,0.0138,0.9119,0.0441,0.3889,0.4166,0.0276,0.3949,0.4114,0.0164,0.9601,0.8067,3.1352,0.2652,0.4491,0.4416,0.0075
1/10021,SlightPalsy,82.202,0.1619,0.1465,0.0154,0.9049,0.0772,0.356,0.4323,0.0762,0.382,0.3892,0.0072,0.9815,0.7921,5.5943,0.5857,0.4544,0.4521,0.0023
1/10026,SlightPalsy,82.267,0.1582,0.1423,0.0158,0.9,0.0858,0.3954,0.442,0.0466,0.3911,0.3952,0.0042,0.9894,0.8418,5.8519,0.0986,0.4567,0.4476,0.0091
1/10031,StrongPalsy,82.626,0.1549,0.1311,0.0238,0.8463,0.1152,0.4301,0.3605,0.0696,0.3963,0.4208,0.0245,0.9419,0.7989,8.2944,0.1961,0.4617,0.4152,0.0466
1/10036,StrongPalsy,82.405,0.1632,0.156,0.0072,0.9561,0.0807,0.3855,0.4305,0.0449,0.4096,0.4548,0.0452,0.9006,0.82,5.6472,0.3385,0.441,0.4442,0.0031
1/10041,StrongPalsy,81.991,0.1734,0.1597,0.0136,0.9214,0.13,0.4146,0.3956,0.0189,0.3836,0.431,0.0475,0.8899,0.8205,9.1147,0.3829,0.458,0.4261,0.0319
1/10046,StrongPalsy,82.375,0.1696,0.1589,0.0108,0.9365,0.1259,0.4201,0.397,0.0231,0.3869,0.4297,0.0428,0.9003,0.8267,8.7587,0.2171,0.456,0.4315,0.0245
